,0,1
48,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
49,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
50,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
51,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
52,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
53,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
54,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
55,[0.48285843 0.13879526 0.06279061 0.31555571],-2931.438417931336
56,[0.06525152 0.67037919 0.24780455 0.01656474],-2931.2182345589435
57,[0.06525152 0.67037919 0.24780455 0.01656474],-2931.2182345589435
58,[0.13064008 0.50546627 0.30074035 0.0631533 ],-2927.584123356363
59,[0.13064008 0.50546627 0.30074035 0.0631533 ],-2927.584123356363
60,[0.13064008 0.50546627 0.30074035 0.0631533 ],-2927.584123356363
61,[0.13064008 0.50546627 0.30074035 0.0631533 ],-2927.584123356363
62,[0.13064008 0.50546627 0.30074035 0.0631533 ],-2927.584123356363
63,[0.13064008 0.50546627 0.30074035 0.0631533 ],-2927.584123356363
64,[0.13064008 0.50546627 0.30074035 0.0631533 ],-2927.584123356363
65,[0.13064008 0.50546627 0.30074035 0.0631533 ],-2927.584123356363
66,[0.13064008 0.50546627 0.30074035 0.0631533 ],-2927.584123356363
67,[0.13064008 0.50546627 0.30074035 0.0631533 ],-2927.584123356363
68,[0.13064008 0.50546627 0.30074035 0.0631533 ],-2927.584123356363
69,[0.13064008 0.50546627 0.30074035 0.0631533 ],-2927.584123356363
70,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
71,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
72,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
73,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
74,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
75,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
76,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
77,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
78,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
79,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
80,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
81,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
82,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
83,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
84,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
85,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
86,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
87,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
88,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
89,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
90,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
91,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
92,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
93,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
94,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
95,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
96,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
97,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
98,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
99,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
100,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
101,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
102,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
103,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
104,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
105,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
106,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
107,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
108,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
109,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
110,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
111,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
112,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
113,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
114,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
115,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
116,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
117,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
118,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
119,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
120,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
121,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
122,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
123,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
124,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
125,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
126,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
127,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
128,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
129,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
130,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
131,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
132,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
133,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
134,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
135,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
136,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
137,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
138,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
139,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
140,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
141,[0.46746716 0.20238081 0.09325478 0.23689725],-2925.379408487668
